    3.36     670     460   M
     3.8     630     430   F
     3.6     710     540   M
       4     670     700   F
    3.97     550     500   F
    3.25     400     450   F
    3.54     590     570   M
    3.71     460     310   F
     3.4     570     510   F
       4     560     570   F
    3.75     520     300   F
    3.75     650     630   F
     3.6     550     560   M
     3.2     710     700   M
    3.57     440     480   F
       4     610     580   F
     3.2     630     570   M
    3.02     430     350   F
    3.91     490     380   M
    3.91     620     600   M
     3.4     430     370   F
    3.83     610     460   F
    3.22     540     580   F
     2.7     620     470   M
     3.2     470     660   F
     3.5     700     530   F
    3.91     620     550   M
     3.8     660     750   F
    3.72     580     550   F
    3.92     690     610   M
    3.84     620     650   M
    3.63     570     500   M
    3.93     680     560   F
    3.87     580     540   F
    3.69     640     500   F
    3.65     590     510   F
    3.79     570     400   M
    2.87     610     490   M
    3.37     670     540   F
     3.8     740     500   M
       4     590     500   F
       3     410     460   F
       4     670     590   M
     3.5     610     590   F
     3.4     510     420   F
    3.85     650     470   F
     3.9     600     550   F
    3.94     750     560   M
     3.9     580     590   F
       4     690     570   M
    3.59     740     680   M
    2.55     590     570   F
       4     540     530   M
    3.16     710     500   F
    3.96     710     680   F
    3.35     640     630   F
    3.68     610     520   F
    3.99     720     740   F
    3.56     690     550   M
    3.65     460     470   F
    3.45     610     500   F
    3.43     670     500   M
    3.73     690     580   F
     3.3     670     600   F
    3.74     600     630   F
    3.93     490     600   F
     3.9     600     470   M
    3.93     640     690   F
    3.71     490     640   F
       4     640     560   F
       3     660     680   F
    3.17     700     560   M
    3.46     520     600   F
    3.26     640     630   F
    3.98     540     560   F
     3.5     610     500   F
    3.93     700     510   F
    3.68     640     450   F
    2.56     590     420   M
    3.25     610     630   F
     3.4     540     490   M
       4     510     410   M
    3.83     530     660   F
    3.66     720     710   M
    3.31     580     450   F
    3.78     650     490   M
     3.3     280     320   F
    3.96     490     440   F
    3.73     620     500   F
       4     360     330   F
     3.8     640     470   M
    3.64     580     480   F
     3.5     570     510   M
    3.94     640     570   F
    3.75     620     390   F
    3.89     500     530   F
       4     410     670   F
    2.76     420     480   F
    3.83     620     650   F
    3.93     570     470   M
    3.87     520     400   F
    3.75     630     690   F
     3.9     500     500   M
     3.9     610     420   M
     3.7     680     560   M
    3.77     540     510   M
    3.92     650     520   F
    3.41     620     540   M
    3.33     430     330   M
    3.95     620     580   M
     3.5     590     420   F
       4     510     490   F
    3.76     640     630   F
    3.83     540     470   F
     3.7     660     590   F
     2.6     310     330   M
    3.98     660     600   F
    3.52     480     480   F
       4     600     550   F
    3.95     690     710   F
    2.57     530     410   F
       4     730     500   M
     3.8     650     680   M
    3.42     610     440   F
    3.75     720     520   M
    3.85     720     560   M
    3.92     620     530   M
    3.42     580     580   M
    3.65     690     560   F
       3     580     510   F
    3.08     560     380   F
    3.84     570     500   F
    3.67     630     510   F
    3.75     580     450   M
    3.98     690     510   F
    3.82     780     670   F
    3.81     610     480   F
    3.81     730     680   F
       4     630     600   M
    3.98     560     520   F
    3.72     730     500   M
    3.66     590     710   M
    3.65     720     660   M
    3.48     320     350   F
    3.71     650     510   F
